Chromosome	Genomic Position Start	Genomic Position End	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Phenotypes	moi
chr9	2015347	2193624	600014	SMARCA2, SNF2L2, NCBRS, BIS	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2	6595	ENSG00000080503	Blepharophimosis-impaired intellectual development syndrome, 619293 (3), Autosomal dominant	AD
chr9	12693385	12710285	115501	TYRP1, CAS2, GP75, SHEP11	Tyrosinase-related protein 1	TYRP1	7306	ENSG00000107165	Albinism, oculocutaneous, type III, 203290 (3), Autosomal recessive	AR
chr9	14737152	14910995	608944	FREM1, C9orf154, BNAR, MOTA, TRIGNO2	FRAS1-related extracellular matrix protein 1	FREM1	158326	ENSG00000164946	Bifid nose with or without anorectal and renal anomalies, 608980 (3), Autosomal recessive	AR
chr9	21967752	21995324	600160	CDKN2A, MTS1, P16, MLM, CMM2	Cyclin-dependent kinase inhibitor 2A (p16, inhibits CDK4)	CDKN2A	1029	ENSG00000147889	{Melanoma, cutaneous malignant, 2}, 155601 (3), Autosomal dominant	AD
chr9	26947110	27066134	608040	IFT74, CCDC2, CMG1, BBS22, JBTS40, SPGF58	Intraflagellar transport 74	IFT74	80173	ENSG00000096872	Spermatogenic failure 58, 619585 (3), Autosomal recessive	AR
chr9	27109141	27230178	600221	TEK, TIE2, VMCM, GLC3E	TEK tyrosine kinase, endothelial	TEK	7010	ENSG00000120156	Glaucoma 3, primary congenital, E, 617272 (3), Autosomal dominant	AD
chr9	33104077	33185089	137060	B4GALT1, GGTB2, GT1, GTB, CDG2D, CLDLFIB	Glycoprotein-4-beta-galactosyltransferase-2 (EC 2.4.1.22)	B4GALT1	2683	ENSG00000086062	Congenital disorder of glycosylation, type IId, 607091 (3), Autosomal recessive	AR
chr9	34634722	34637787	601978	SIGMAR1, SRBP, ALS16, HMNR2	Sigma nonopioid intracellular receptor 1	SIGMAR1	10280	ENSG00000147955	?Amyotrophic lateral sclerosis 16, juvenile, 614373 (3), Autosomal recessive	AR
chr9	35056064	35072625	601023	VCP, IBMPFD1, CMT2Y, FTDALS6	Valosin-containing protein	VCP	7415	ENSG00000165280	Charcot-Marie-Tooth disease, type 2Y, 616687 (3), Autosomal dominant	AD
chr9	35657750	35658019	157660	RMRP, RMRPR, CHH	Mitochondrial RNA-processing endoribonuclease	RMRP	6023	ENSG00000277027	Metaphyseal dysplasia without hypotrichosis, 250460 (3), Autosomal recessive	AR
chr9	35681993	35690056	190990	TPM2, TMSB, AMCD1, DA1, DA2B4, CMYP23	Tropomyosin-2, beta	TPM2	7169	ENSG00000198467	Arthrogryposis, distal, type 1A, 108120 (3), Autosomal dominant	AD
chr9	35791591	35809731	108961	NPR2, ANPRB, AMD1, ECDM, SNSK	Natiuretic peptide receptor 2	NPR2	4882	ENSG00000159899	Short stature with nonspecific skeletal abnormalities, 616255 (3), Autosomal dominant	AD
chr9	69035752	69079076	606829	FXN, FRDA, FARR, X25	Frataxin	FXN	2395	ENSG00000165060	Friedreich ataxia, 229300 (3), Autosomal recessive	AR
chr9	69121264	69255208	607709	TJP2, ZO2, PFIC4, FHCA1	Tight junction protein 2	TJP2	9414	ENSG00000119139	Cholestasis, progressive familial intrahepatic 4, 615878 (3), Autosomal recessive	AR
chr9	70529060	71446971	608961	TRPM3, MLSN2, LTRPC3, KIAA1616, NEDFSS, CTRCT50	Transient receptor potential cation channel, subfamily M, member 3	TRPM3	80036	ENSG00000083067	Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skeletal anomalies, with or without seizures, 620224 (3), Autosomal dominant	AD
chr9	72521608	72838297	606706	TMC1, DFNB7, DFNB11, DFNA36	Transmembrane channel-like protein 1	TMC1	117531	ENSG00000165091	Deafness, autosomal recessive 7, 600974 (3), Autosomal recessive	AR
chr9	78297125	78330093	610936	PSAT1, PSAT, EPIP, PSATD, NLS2	Phosphoserine aminotransferase 1	PSAT1	29968	ENSG00000135069	Phosphoserine aminotransferase deficiency, 610992 (3), Autosomal recessive	AR
chr9	84668522	85027054	600456	NTRK2, TRKB, OBHD, DEE58	Neurotrophic tyrosine kinase, receptor, type 2	NTRK2	4915	ENSG00000148053	Obesity, hyperphagia, and developmental delay, 613886 (3), Autosomal dominant	AD
chr9	91722601	91950228	602337	ROR2, BDB1, BDB, NTRKR2	Receptor tyrosine kinase-like orphan receptor 2	ROR2	4920	ENSG00000169071	Robinow syndrome, autosomal recessive, 268310 (3), Autosomal recessive	AR
chr9	92031147	92115413	605712	SPTLC1, LBC1, SPT1, HSN1, HSAN, ALS27	Serine palmitoyltransferase, long-chain base subunit 1	SPTLC1	10558	ENSG00000090054	Neuropathy, hereditary sensory and autonomic, type IA, 162400 (3), Autosomal dominant	AD
chr9	92456205	92482506	608135	ASPN, PLAP1, OS3	Asporin	ASPN	54829	ENSG00000106819	{Osteoarthritis susceptibility 3}, 607850 (3), Autosomal dominant	AD
chr9	92711363	92764833	609797	BICD2, KIAA0699, SMALED2A, SMALED2B	BICD carbo adaptor 2	BICD2	23299	ENSG00000185963	Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant, 615290 (3), Autosomal dominant	AD
chr9	97853226	97856717	602617	FOXE1, FKHL15, TITF2, TTF2, NMTC4, BAMLAZ	Forkhead box E1 (thyroid transcription factor-2)	FOXE1	2304	ENSG00000178919	{Thyroid cancer, nonmedullary, 4}, 616534 (3), Autosomal dominant	AD
chr9	99103647	99154192	190181	TGFBR1, ALK5, AAT5, LDS1, MSSE	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kD)	TGFBR1	7046	ENSG00000106799	Loeys-Dietz syndrome 1, 609192 (3), Autosomal dominant	AD
chr9	99216425	99221942	607905	ALG2, CDGII, CMSTA3, CMS14	ALG2 alpha-1,3/1,6-mannosyltransferase	ALG2	85365	ENSG00000119523	Myasthenic syndrome, congenital, 14, with tubular aggregates, 616228 (3), Autosomal recessive	AR
chr9	104781006	104928155	600046	ABCA1, ABC1, HPALP1, TGD, HDLCQTL13	ATP-binding cassette 1	ABCA1	19	ENSG00000165029	HDL deficiency, familial, 1, 604091 (3), Autosomal dominant	AD
chr9	105558130	105641118	607440	FKTN, FCMD, CMD1X, LGMDR13, MDDGA4, MDDGB4, MDDGC4	Fukutin	FKTN	2218	ENSG00000106692	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800 (3), Autosomal recessive	AR
chr9	108867517	108934124	603722	ELP1, IKBKAP, IKAP	Elongator complex protein 1	ELP1	8518	ENSG00000070061	Dysautonomia, familial, 223900 (3), Autosomal recessive	AR
chr9	110668791	110806558	601296	MUSK, CMS9, FADS1	Receptor tyrosine kinase MuSK	MUSK	4593	ENSG00000030304	Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325 (3), Autosomal recessive	AR
chr9	113386312	113401284	125270	ALAD, ALADH, PBGS	Aminolevulinate, delta-, dehydratase	ALAD	210	ENSG00000148218	{Lead poisoning, susceptibility to}, 612740 (3), Autosomal recessive	AR
chr9	114402080	114505473	607928	WHRN, CIP98, KIAA1526, DFNB31, USH2D	Whirlin	WHRN	25861	ENSG00000095397	Usher syndrome, type 2D, 611383 (3), Autosomal recessive	AR
chr9	116687305	116701299	602290	TRIM32, HT2A, LGMDR8, BBS11	Tripartite-motif-containing protein 32	TRIM32	22954	ENSG00000119401	Muscular dystrophy, limb-girdle, autosomal recessive 8, 254110 (3), Autosomal recessive	AR
chr9	120952335	121074865	120900	C5, C5D, ECLZB	Complement component-5	C5	727	ENSG00000106804	[Eculizumab, poor response to], 615749 (3), Autosomal dominant	AD
chr9	123354065	123380326	609720	CRB2, FSGS9, VMCKD	Crumbs cell polarity complex component 2	CRB2	286204	ENSG00000148204	Ventriculomegaly with cystic kidney disease, 219730 (3), Autosomal recessive	AR
chr9	124481236	124507399	184757	NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8, SRXX4	Nuclear receptor subfamily 5, group A, member 1	NR5A1	2516	ENSG00000136931	Premature ovarian failure 7, 612964 (3), Autosomal dominant	AD
chr9	126613928	126701032	602575	LMX1B, NPS1, FSGS10	LIM homeobox transcription factor 1, beta	LMX1B	4010	ENSG00000136944	Nail-patella syndrome, 161200 (3), Autosomal dominant	AD
chr9	128203379	128255244	602377	DNM1, DEE31A, DEE31B	Dynamin-1	DNM1	1759	ENSG00000106976	Developmental and epileptic encephalopathy 31A, autosomal dominant, 616346 (3), Autosomal dominant	AD
chr9	128322839	128334072	612898	COQ4, COQ10D7, SPAX10	Coenzyme Q4, S. cerevisiae, homolog of	COQ4	51117	ENSG00000167113	Spastic ataxia 10, autosomal recessive, 620666 (3), Autosomal recessive	AR
chr9	128504692	128542288	603371	GLE1, GLE1L, LCCS, LCCS1, CAAHD	Gle1, RNA export mediator, S. cerevisiae, homolog of	GLE1	2733	ENSG00000119392	Congenital arthrogryposis with anterior horn cell disease, 611890 (3), Autosomal recessive	AR
chr9	128552587	128633662	182810	SPTAN1, NEAS, DEE5, HMND11, DEVEP, SPG91	Spectrin, alpha, nonerythrocytic-1 (alpha-fodrin)	SPTAN1	6709	ENSG00000197694	Developmental and epileptic encephalopathy 5, 613477 (3), Autosomal dominant	AD
chr9	129812942	129824136	605204	TOR1A, DYT1, AMC5	Torsin 1A	TOR1A	1861	ENSG00000136827	Arthrogryposis multiplex congenita 5, 618947 (3), Autosomal recessive	AR
chr9	130713043	130887675	189980	ABL1, CHDSKM	ABL protooncogene 1, nonreceptor tyrosine kinase	ABL1	25	ENSG00000097007	Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant	AD
chr9	131502918	131523799	607423	POMT1, MDDGA1, MDDGB1, MDDGC1, LGMDR11	Protein O-mannosyltransferase 1	POMT1	10585	ENSG00000130714	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1, 609308 (3), Autosomal recessive	AR
chr9	132261356	132356744	608465	SETX, SCAN2, AOA2, ALS4	Senataxin	SETX	23064	ENSG00000107290	Amyotrophic lateral sclerosis 4, juvenile, 602433 (3), Autosomal dominant	AD
chr9	132891349	132945378	605284	TSC1, LAM	Hamartin (tuberous sclerosis 1 gene)	TSC1	7248	ENSG00000165699	Tuberous sclerosis-1, 191100 (3), Autosomal dominant	AD
chr9	133351758	133356487	185620	SURF1, CMT4K, MC4DN1	Surfeit-1	SURF1	6834	ENSG00000148290	Mitochondrial complex IV deficiency, nuclear type 1, 220110 (3), Autosomal recessive	AR
chr9	134641803	134844843	120215	COL5A1, EDSCL1, FMDMF	Collagen V, alpha-1 polypeptide	COL5A1	1289	ENSG00000130635	Fibromuscular dysplasia, multifocal, 619329 (3), Autosomal dominant	AD
chr9	135693407	135702112	610224	SOHLH1, NOHLH, TEB2, ODG5, SPGF32	Spermatogenesis- and oogenesis-specific basic helix-loop-helix protein 1	SOHLH1	402381	ENSG00000165643	Spermatogenic failure 32, 618115 (3), Autosomal dominant	AD
chr9	135702185	135795502	608167	KCNT1, KIAA1422, DEE14, ENFL5	Potassium channel, subfamily T, member 1	KCNT1	57582	ENSG00000107147	Epilepsy nocturnal frontal lobe, 5, 615005 (3), Autosomal dominant	AD
chr9	136428619	136439845	613037	INPP5E, MORMS, JBTS1, CORS1	Inositol polyphosphate-5-phosphatase, 72kD	INPP5E	56623	ENSG00000148384	Mental retardation, truncal obesity, retinal dystrophy, and micropenis, 610156 (3), Autosomal recessive	AR
chr9	136494433	136546048	190198	NOTCH1, TAN1, AOS5, AOVD1	Notch receptor 1	NOTCH1	4851	ENSG00000148400	Aortic valve disease 1, 109730 (3), Autosomal dominant	AD
chr9	137139154	137168756	138249	GRIN1, NMDAR1, NDHMSR, NDHMSD, DEE101	Glutamate receptor, ionotropic, N-methyl D-aspartate 1	GRIN1	2902	ENSG00000176884	Developmental and epileptic encephalopathy 101, 619814 (3), Autosomal recessive	AR
chr10	12068954	12123221	614984	DHTKD1, KIAA1630, AAKAD, CMT2Q	Dehydrogenase E1 and transketolase domains-containing protein 1	DHTKD1	55526	ENSG00000181192	Alpha-aminoadipic and alpha-ketoadipic aciduria, 204750 (3), Autosomal recessive	AR
chr10	13100082	13138308	602432	OPTN, GLC1E, FIP2, HYPL, NRP, ALS12	Optineurin	OPTN	10133	ENSG00000123240	Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia, 613435 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr10	14897359	14954432	605988	DCLRE1C, ARTEMIS, SCIDA	DNA cross-link repair protein 1C	DCLRE1C	64421	ENSG00000152457	Omenn syndrome, 603554 (3), Autosomal recessive	AR
chr10	16823966	17129811	602997	CUBN, IFCR, IGS1	Cubilin (intrinsic factor-cobalamin receptor)	CUBN	8029	ENSG00000107611	Imerslund-Grasbeck syndrome 1, 261100 (3), Autosomal recessive	AR
chr10	23192312	23194245	607194	PTF1A, PACA, PAGEN2	Pancreas transcription factor 1, alpha subunit	PTF1A	256297	ENSG00000168267	Pancreatic agenesis 2, 615935 (3), Autosomal recessive	AR
chr10	25934229	26212532	606808	MYO3A, DFNB30, DFNA90	Myosin IIIA	MYO3A	53904	ENSG00000095777	Deafness, autosomal dominant 90, 620722 (3), Autosomal dominant	AD
chr10	31318417	31529804	189909	ZEB1, TCF8, NIL2A, PPCD3, FECD6	Zinc finger E box-binding homeobox 1	ZEB1	6935	ENSG00000148516	Corneal dystrophy, Fuchs endothelial, 6, 613270 (3), Autosomal dominant	AD
chr10	43077069	43130351	164761	RET, MEN2A, HSCR1	RET transforming sequence; oncogene RET	RET	5979	ENSG00000165731	Multiple endocrine neoplasia IIA, 171400 (3), Autosomal dominant	AD
chr10	45374216	45446117	152390	ALOX5	Arachidonate 5-lipoxygenase	ALOX5	240	ENSG00000012779	{Asthma, diminished response to antileukotriene treatment in}, 600807 (3), Autosomal dominant	AD
chr10	49434881	49539538	609413	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11	ERCC excision repair 6, chromatin remodeling factor	ERCC6	2074	ENSG00000225830	Cerebrooculofacioskeletal syndrome 1, 214150 (3), Autosomal recessive	AR
chr10	53802771	55627942	605514	PCDH15, DFNB23, USH1F	Protocadherin 15	PCDH15	65217	ENSG00000150275	Deafness, autosomal recessive 23, 609533 (3), Autosomal recessive	AR
chr10	62811996	62819167	129010	EGR2, KROX20, CHN1	KROX-20, Drosophila, homolog of (early growth response-2)	EGR2	1959	ENSG00000122877	Charcot-Marie-Tooth disease, type 1D, 607678 (3), Autosomal dominant	AD
chr10	68087897	68212017	608517	MYPN, CMD1DD, CMH22, RCM4, CMYP24	Myopalladin	MYPN	84665	ENSG00000138347	Congenital myopathy 24, 617336 (3), Autosomal recessive	AR
chr10	68414064	68472521	601810	DNA2, DNA2L, KIAA0083, PEOA6, SCKL8	DNA replication helicase/nuclease 2	DNA2	1763	ENSG00000138346	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6, 615156 (3), Autosomal dominant	AD
chr10	69270000	69401882	142600	HK1, HKD, HMSNR, RP79, NEDVIBA	Hexokinase-1	HK1	3098	ENSG00000156515	Neuropathy, hereditary motor and sensory, Russe type, 605285 (3), Autosomal recessive	AR
chr10	71396920	71815947	605516	CDH23, USH1D, DFNB12, PITA5	Cadherin-23 (otocadherin)	CDH23	64072	ENSG00000107736	{Pituitary adenoma 5, multiple types}, 617540 (3), Autosomal dominant	AD
chr10	71816298	71851251	176801	PSAP, SAP1, PSAPD, PARK24	Prosaposin (sphingolipid activator protein-1)	PSAP	5660	ENSG00000197746	Krabbe disease, atypical, 611722 (3), Autosomal recessive	AR
chr10	73909164	73917494	191840	PLAU, URK, QPD, BDPLT5	Plasminogen activator, urokinase	PLAU	5328	ENSG00000122861	{Alzheimer disease, late-onset, susceptibility to}, 104300 (3), Autosomal dominant	AD
chr10	73998116	74121363	193065	VCL, CMD1W, CMH15	Vinculin	VCL	7414	ENSG00000035403	Cardiomyopathy, hypertrophic, 15, 613255 (3), Autosomal dominant	AD
chr10	74824936	75032624	605880	KAT6B, MYST4, MORF, GTPTS	Lysine acetyltransferase 6B	KAT6B	23522	ENSG00000156650	Genitopatellar syndrome, 606170 (3), Autosomal dominant	AD
chr10	76869602	77637808	600150	KCNMA1, SLO, PNKD3, CADEDS, IEG16, LIWAS	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1 (slowpoke, Drosophila, homolog of)	KCNMA1	3778	ENSG00000156113	Paroxysmal nonkinesigenic dyskinesia, 3, with or without generalized epilepsy, 609446 (3), Autosomal dominant	AD
chr10	77975149	78029515	614258	POLR3A, RPC1, RPC155, ADDH, HLD7, WDRTS	Polymerase III, RNA, subunit A	POLR3A	11128	ENSG00000148606	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism, 607694 (3), Autosomal recessive	AR
chr10	80150889	80205808	602572	ANXA11, ANX11, ALS23, IBMWMA	Annexin A11 (annexin XI)	ANXA11	311	ENSG00000122359	Inclusion body myopathy and brain white matter abnormalities, 619733 (3), Autosomal dominant	AD
chr10	80271820	80289658	610550	MAT1A, MATA1, SAMS1	Methionine adenosyltransferase I, alpha	MAT1A	4143	ENSG00000151224	Methionine adenosyltransferase deficiency, autosomal recessive, 250850 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr10	84194537	84219621	609502	CDHR1, PCDH21, PRCAD, CORD15, RP65	Cadherin-related family, member 1	CDHR1	92211	ENSG00000148600	Cone-rod dystrophy 15, 613660 (3), Autosomal recessive	AR
chr10	86666788	86736072	605906	LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3	LIM domain binding 3	LDB3	11155	ENSG00000122367	Cardiomyopathy, hypertrophic, 24, 601493 (3), Autosomal dominant	AD
chr10	86755763	86932844	601299	BMPR1A, ACVRLK3, ALK3	Bone morphogenetic protein receptor, type IA	BMPR1A	657	ENSG00000107779	Polyposis, juvenile intestinal, 174900 (3), Autosomal dominant	AD
chr10	87504893	87553461	605391	MINPP1, HIPER1, PCH16	Multiple inositol polyphosphate phosphatase 1	MINPP1	9562	ENSG00000107789	Pontocerebellar hypoplasia, type 16, 619527 (3), Autosomal recessive	AR
chr10	87863625	87971930	601728	PTEN, MMAC1, GLM2, CWS1	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	PTEN	5728	ENSG00000171862	{Meningioma}, 607174 (3), Autosomal dominant	AD
chr10	88935074	88991337	102620	ACTA2, ACTSA, AAT6, MYMY5, SMDYS	Actin, alpha-2, smooth muscle, aorta	ACTA2	59	ENSG00000107796	Aortic aneurysm, familial thoracic 6, 611788 (3), Autosomal dominant	AD
chr10	88964050	89017059	134637	FAS, TNFRSF6, APT1, CD95, ALPS1A	Fas cell surface death receptor	FAS	355	ENSG00000026103	Autoimmune lymphoproliferative syndrome, type IA, 601859 (3), Autosomal dominant	AD
chr10	89213572	89251775	613497	LIPA, CESD	Lipase A, lysosomal acid, cholesterol esterase	LIPA	3988	ENSG00000107798	Cholesteryl ester storage disease, 278000 (3), Autosomal recessive	AR
chr10	93591694	93601744	180250	RBP4, RDCCAS, MCOPCB10	Retinol-binding protein-4, interstitial	RBP4	5950	ENSG00000138207	Retinal dystrophy, iris coloboma, and comedogenic acne syndrome, 615147 (3), Autosomal recessive	AR
chr10	94762681	94855547	124020	CYP2C, CYP2C19	Cytochrome P450, subfamily IIC (mephenytoin 4'-hydroxylase)	CYP2C19	1557	ENSG00000165841	Mephenytoin poor metabolizer, 609535 (3), Autosomal recessive	AR
chr10	95605941	95656711	138250	ALDH18A1, PYCS, GSAS, ARCL3A, SPG9A, SPG9B, ADCL3	Aldehyde dehydrogenase 18 family, member A1 (1-pyrroline-5-carboxylate synthetase)	ALDH18A1	5832	ENSG00000059573	Cutis laxa, autosomal recessive, type IIIA, 219150 (3), Autosomal recessive	AR
chr10	95663401	95693927	613847	TCTN3, TECT3, C10orf61, OFD4, JBTS18	Tectonic family, member 3	TCTN3	26123	ENSG00000119977	Orofaciodigital syndrome IV, 258860 (3), Autosomal recessive	AR
chr10	100186319	100229596	600664	CHUK, IKBKA, NFKBIKA, IKKA, IKK1, BPS2	Component of nuclear factor kappa-B kinase complex	CHUK	1147	ENSG00000213341	?Cocoon syndrome, 613630 (3), Autosomal recessive	AR
chr10	100735396	100829944	167409	PAX2, PAPRS, FSGS7	Paired box homeotic gene-2	PAX2	5076	ENSG00000075891	Papillorenal syndrome, 120330 (3), Autosomal dominant	AD
chr10	100987543	100994403	606075	TWNK, C10orf2, TWINKLE, PEOA3, IOSCA, MTDPS7, PRLTS5	Twinkle mtDNA helicase	TWNK	56652	ENSG00000107815	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, 609286 (3), Autosomal dominant	AD
chr10	101007679	101031129	612971	PDZD7, DFNB57	PDZ domain-containing 7	PDZD7	79955	ENSG00000186862	{Retinal disease in Usher syndrome type IIA, modifier of}, 276901 (3), Autosomal recessive	AR
chr10	102230189	102241512	602669	PITX3, CTPP4, CTRCT11, ASGD1	Paired-like homeodomain transcription factor-3	PITX3	5309	ENSG00000107859	Anterior segment dysgenesis 1, multiple subtypes, 107250 (3), Autosomal dominant	AD
chr10	102502819	102633535	607035	SUFU, SUFUXL, SUFUH, JBTS32, BCNS2	Suppressor of fused	SUFU	51684	ENSG00000107882	Joubert syndrome 32, 617757 (3), Autosomal recessive	AR
chr10	102673731	102714397	604695	ARL3, ARFL3, JBTS35, RP83	ADP ribosylation factor-like GTPase 3	ARL3	403	ENSG00000138175	Joubert syndrome 35, 618161 (3), Autosomal recessive	AR
chr10	102830531	102837413	609300	CYP17A1, CYP17, P450C17	Cytochrome P450, family 17, subfamily A, polypeptide 1 (steroid 17-alpha-hydroxylase)	CYP17A1	1586	ENSG00000148795	17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3), Autosomal recessive	AR
chr10	102918294	103090222	607803	CNNM2, ACDP2, HOMG6, HOMGSMR	Cyclin M2	CNNM2	54805	ENSG00000148842	Hypomagnesemia, seizures, and impaired intellectual development 1, 616418 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr10	104031286	104085880	113811	COL17A1, BPAG2, ERED, JEB4	Collagen XVII, alpha-1 polypeptide	COL17A1	1308	ENSG00000065618	Epidermolysis bullosa, junctional 4, intermediate, 619787 (3), Autosomal recessive	AR
chr10	104129888	104232364	617558	CFAP43, WDR96, C10orf79, SPGF19, HYDNP1	Cilia- and flagella-associated protein 43	CFAP43	80217	ENSG00000197748	Spermatogenic failure 19, 617592 (3), Autosomal recessive	AR
chr10	113550831	113589602	603924	HABP2, PHBP, HGFAL, FSAP, NMTC5	Hyaluronan-binding protein 2	HABP2	3026	ENSG00000148702	{Venous thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant	AD
chr10	119167720	119178812	604769	PRDX3, AOP1, SCAR32, PPPCD	Peroxiredoxin 3 (antioxidant protein 1)	PRDX3	10935	ENSG00000165672	Corneal dystrophy, punctiform and polychromatic pre-Descemet, 619871 (3), Autosomal dominant	AD
chr10	119651380	119677819	603883	BAG3, MFM6	BCL2-associated athanogene 3	BAG3	9531	ENSG00000151929	Myopathy, myofibrillar, 6, 612954 (3), Autosomal dominant	AD
chr10	120851362	120909524	606417	WDR11, DR11, KIAA1351, BRWD2, HH14	WD repeat-containing protein 11	WDR11	55717	ENSG00000120008	Hypogonadotropic hypogonadism 14 with or without anosmia, 614858 (3), Autosomal dominant	AD
chr10	121478330	121598458	176943	FGFR2, BEK, CFD1, JWS, TK14, BBDS	Fibroblast growth factor receptor-2 (bacteria-expressed kinase)	FGFR2	2263	ENSG00000066468	LADD syndrome 1, 149730 (3), Autosomal dominant	AD
chr10	133553899	133568291	611486	SYCE1, POF12, SPGF15	Synaptonemal complex central element protein 1	SYCE1	93426	ENSG00000171772	?Premature ovarian failure 12, 616947 (3), Autosomal recessive	AR
chr11	644220	707083	602635	DEAF1, SPN, ZMYND5, VSVS, NEDHELS	DEAF1 transcription factor	DEAF1	10522	ENSG00000177030	Neurodevelopmental disorder with hypotonia, impaired expressive language, and with or without seizures, 617171 (3), Autosomal recessive	AR
chr11	832952	838831	602243	CD151, PETA3, SFA1, MER2, EBS7	CD151 antigen	CD151	977	ENSG00000177697	Epidermolysis bullosa simplex 7, with nephropathy and deafness, 609057 (3), Autosomal recessive	AR
chr11	1998202	2003509	616186	ICR1, BWS, WT2, SRS1	H19-IGF2-imprinting control region		105259599		Beckwith-Wiedemann syndrome, 130650 (3), Autosomal dominant	AD
chr11	2159779	2161209	176730	INS, MODY10, IDDM2, PNDM4	Insulin	INS	3630	ENSG00000254647	Maturity-onset diabetes of the young, type 10, 613370 (3), Autosomal dominant	AD
chr11	2445008	2849105	607542	KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2	Potassium voltage-gated channel, KQT-like subfamily, member 1	KCNQ1	3784	ENSG00000053918	Atrial fibrillation, familial, 3, 607554 (3), Autosomal dominant	AD
chr11	2883218	2885775	600856	CDKN1C, KIP2, BWS, IMAGE	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	1028	ENSG00000129757	Beckwith-Wiedemann syndrome, 130650 (3), Autosomal dominant	AD
chr11	3854604	4093210	605921	STIM1, TAM1, IMD10, STRMK	Stromal interaction molecule 1	STIM1	6786	ENSG00000167323	Stormorken syndrome, 185070 (3), Autosomal dominant	AD
chr11	5225464	5227071	141900	HBB, ECYT6	Hemoglobin beta	HBB	3043	ENSG00000244734	Thalassemia-beta, dominant inclusion-body, 603902 (3), Autosomal dominant	AD
chr11	5253188	5254781	142250	HBG2, TNCY	Hemoglobin, gamma G	HBG2	3048	ENSG00000196565	Cyanosis, transient neonatal, 613977 (3), Autosomal dominant	AD
chr11	6390474	6394996	607608	SMPD1, NPD	Sphingomyelin phosphodiesterase-1, acid lysosomal	SMPD1	6609	ENSG00000166311	Niemann-Pick disease, type A, 257200 (3), Autosomal recessive	AR
chr11	6612768	6619422	607998	TPP1, CLN2, SCAR7	Tripeptidyl peptidase 1	TPP1	1200	ENSG00000166340	Spinocerebellar ataxia, autosomal recessive 7, 609270 (3), Autosomal recessive	AR
chr11	6621330	6655809	603057	DCHS1, PCDH16, FIB1, CDH19, VMLDS1, MVP2	Dachsous, Drosophila, homolog of, 1	DCHS1	8642	ENSG00000166341	Van Maldergem syndrome 1, 601390 (3), Autosomal recessive	AR
chr11	13668668	13732346	616107	FAR1, MLSTD2, PFCRD, CSPSD	Fatty acyl CoA reductase 1	FAR1	84188	ENSG00000197601	Cataracts, spastic paraparesis, and speech delay, 619338 (3), Autosomal dominant	AD
chr11	14277920	14364506	600098	RRAS2, TC21, NS12	Related Ras viral oncogene homolog 2	RRAS2	22800	ENSG00000133818	Noonan syndrome 12, 618624 (3), Autosomal dominant	AD
chr11	17385248	17389346	600937	KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13, PNDM2	Potassium inwardly-rectifying channel, subfamily J, member 11	KCNJ11	3767	ENSG00000187486	{Diabetes mellitus, type 2, susceptibility to}, 125853 (3), Autosomal dominant	AD
chr11	17493900	17544416	605242	USH1C, DFNB18A	USH1 protein network component harmonin	USH1C	10083	ENSG00000006611	Deafness, autosomal recessive 18A, 602092 (3), Autosomal recessive	AR
chr11	19182030	19201983	600824	CSRP3, CRP3, CLP, CMD1M, CMH12	Cysteine- and glycine-rich protein 3	CSRP3	8048	ENSG00000129170	Cardiomyopathy, hypertrophic, 12, 612124 (3), Autosomal dominant	AD
chr11	22192473	22283357	608662	ANO5, TMEM16E, GDD1, LGMDR12	Anoctamin 5	ANO5	203859	ENSG00000171714	Miyoshi muscular dystrophy 3, 613319 (3), Autosomal recessive	AR
